KW,cold,hot,KW,cold,hot
13381.73,6371.267606,3050,13381.73,6371.267606,3050
13382.57,6611.971831,2602.941176,13382.57,6611.971831,2602.941176
13517.52,7277.676056,2367.647059,13517.52,7277.676056,2367.647059
13725.9,8771.302817,2205.882353,13725.9,8771.302817,2205.882353
13899.63,10035.52817,2088.235294,13899.63,10035.52817,2088.235294
13770.17,10611.79577,2052.941176,13770.17,10611.79577,2052.941176
13601.85,10988.94366,2073.529412,13601.85,10988.94366,2073.529412
13621.58,11517.07746,2032.352941,13621.58,11517.07746,2032.352941
13522.08,11710.49296,2082.352941,13522.08,11710.49296,2082.352941
13190.67,10962.21831,2188.235294,13190.67,10962.21831,2188.235294
12918.55,9797.640845,2429.411765,12918.55,9797.640845,2429.411765
12562.55,8923.556338,2382.352941,12562.55,8923.556338,2382.352941
12472.95,8240.105634,2347.058824,12472.95,8240.105634,2347.058824
13406.38,7829.859155,2276.470588,13406.38,7829.859155,2276.470588
14428.33,7132.183099,2182.352941,14428.33,7132.183099,2182.352941
14420.15,6265.774648,2132.352941,14420.15,6265.774648,2132.352941
14385.52,5803.802817,2144.117647,14385.52,5803.802817,2144.117647
13624.88,5684.71831,2138.235294,13624.88,5684.71831,2138.235294
13677.75,5581.549296,2226.470588,13677.75,5581.549296,2226.470588
13553.45,5438.838028,2264.705882,13553.45,5438.838028,2264.705882
13718.95,5570.528169,2455.882353,13718.95,5570.528169,2455.882353
13972.85,5959.577465,2726.470588,13972.85,5959.577465,2726.470588
12966.17,6246.866197,2835.294118,12966.17,6246.866197,2835.294118
13265.97,6252.711268,2988.235294,13265.97,6252.711268,2988.235294
13137.65,6394.612676,2902.941176,13137.65,6394.612676,2902.941176
13180.33,6995.84507,2532.352941,13180.33,6995.84507,2532.352941
13415.45,8112.746479,2176.470588,13415.45,8112.746479,2176.470588
13661.77,9441.901408,2120.588235,13661.77,9441.901408,2120.588235
13887.1,10815.21127,1970.588235,13887.1,10815.21127,1970.588235
13809.63,12185.17606,1908.823529,13809.63,12185.17606,1908.823529
13755.15,13340.66901,1879.411765,13755.15,13340.66901,1879.411765
13650.9,14183.69718,1823.529412,13650.9,14183.69718,1823.529412
13510.05,14385.3169,1894.117647,13510.05,14385.3169,1894.117647
13234.65,13550.52817,1914.705882,13234.65,13550.52817,1914.705882
12827.95,11930.3169,2014.705882,12827.95,11930.3169,2014.705882
12547.17,10729.61268,2188.235294,12547.17,10729.61268,2188.235294
12065.23,9636.478873,2117.647059,12065.23,9636.478873,2117.647059
13152.53,8762.288732,2200,13152.53,8762.288732,2200
14802.98,7801.866197,2067.647059,14802.98,7801.866197,2067.647059
14389.28,7394.788732,2114.705882,14389.28,7394.788732,2114.705882
14327.77,6780.739437,2138.235294,14327.77,6780.739437,2138.235294
13992.9,6181.971831,2100,13992.9,6181.971831,2100
14069.7,5910.140845,2088.235294,14069.7,5910.140845,2088.235294
14065.67,6070.669014,2235.294118,14065.67,6070.669014,2235.294118
13648.35,5878.556338,2258.823529,13648.35,5878.556338,2258.823529
13850.92,6232.887324,2335.294118,13850.92,6232.887324,2335.294118
13274.3,6899.507042,2497.058824,13274.3,6899.507042,2497.058824
